loss,recall,accuracy,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_size,config/dropout,config/output_size,config/num_blocks
0.09314016372680022,0.9501373958927746,0.9780430029154519,1737988047,,True,1,2025-01-27_15-27-27,3309.859174013138,3309.859174013138,2221,MacBook-Air-van-Ruben-2.local,127.0.0.1,3309.859174013138,1,"1_dropout=0.1281,hidden_size=118,num_blocks=3,output_size=5",118,0.12814431453288327,5,3
0.1374833037765865,0.9469989537655841,0.950801749271137,1737988277,,True,1,2025-01-27_15-31-17,227.00775694847107,227.00775694847107,6914,MacBook-Air-van-Ruben-2.local,127.0.0.1,227.00775694847107,1,"2_dropout=0.1420,hidden_size=47,num_blocks=2,output_size=5",47,0.1420402314343364,5,2
0.09752352665674728,0.9631360309050568,0.9706632653061225,1737988810,,True,1,2025-01-27_15-40-10,529.7332580089569,529.7332580089569,7236,MacBook-Air-van-Ruben-2.local,127.0.0.1,529.7332580089569,1,"3_dropout=0.1815,hidden_size=37,num_blocks=3,output_size=5",37,0.1815183159772491,5,3
0.08844848042785029,0.9517730989323575,0.9748542274052479,1737989607,,True,1,2025-01-27_15-53-27,794.6767859458923,794.6767859458923,7982,MacBook-Air-van-Ruben-2.local,127.0.0.1,794.6767859458923,1,"4_dropout=0.0481,hidden_size=111,num_blocks=2,output_size=5",111,0.04814852321051708,5,2
0.10773909679083181,0.9322598530849758,0.9674744897959183,1737996328,,True,1,2025-01-27_17-45-28,6717.791391849518,6717.791391849518,9069,MacBook-Air-van-Ruben-2.local,127.0.0.1,6717.791391849518,1,"5_dropout=0.1873,hidden_size=36,num_blocks=5,output_size=5",36,0.18727289649743173,5,5
0.10199562680151357,0.9509472418616064,0.9662900874635568,1737996544,,True,1,2025-01-27_17-49-04,212.73948907852173,212.73948907852173,16321,Mac.home,127.0.0.1,212.73948907852173,1,"6_dropout=0.1854,hidden_size=50,num_blocks=2,output_size=5",50,0.1853922136881443,5,2
0.13606773011261494,0.957184253076101,0.9600036443148688,1737996898,,True,1,2025-01-27_17-54-58,351.2308158874512,351.2308158874512,16656,Mac.home,127.0.0.1,351.2308158874512,1,"7_dropout=0.0658,hidden_size=16,num_blocks=4,output_size=5",18,0.06584291474057884,5,4
0.16503994984405643,0.9374019111946416,0.9407798833819242,1737997075,,True,1,2025-01-27_17-57-55,175.07422399520874,175.07422399520874,17152,Mac.home,127.0.0.1,175.07422399520874,1,"8_dropout=0.1602,hidden_size=26,num_blocks=2,output_size=5",26,0.1602109920796517,5,2
0.13503872609524867,0.9586492375223343,0.9633746355685131,1738001367,,True,1,2025-01-27_19-09-27,4288.3830778598785,4288.3830778598785,17348,Mac.home,127.0.0.1,4288.3830778598785,1,"9_dropout=0.0418,hidden_size=53,num_blocks=4,output_size=5",53,0.04180346391495138,5,4
0.1254990566325029,0.9577055026980695,0.9589103498542274,1738003198,,True,1,2025-01-27_19-39-58,1828.0271670818329,1828.0271670818329,20534,Mac.home,127.0.0.1,1828.0271670818329,1,"10_dropout=0.1647,hidden_size=61,num_blocks=3,output_size=5",61,0.16467736427586457,5,3
0.16337156999999999,0.8797646299472393,0.9282655537845345,1738009167,,True,1,2025-01-29_19-32-47,3449.4915621499999361,3449.4915621499999361,10792,Mac.home,127.0.0.1,3449.4915621499999361,1,"dropout=0.0609,hidden_size=183,num_blocks=4,output_size=5",183,0.0609000000000000,5,4
0.18947088000000001,0.8913400280000001,0.9187837354574430,1738847493,,True,1,2025-01-29_19-36-41,2334.9213720500001727,2334.9213720500001727,12555,Mac.home,127.0.0.1,2334.9213720500001727,1,"dropout=0.0536,hidden_size=139,num_blocks=5,output_size=5",139,0.0536000000000000,5,5
